TotalDeaths,Carrier,Aircraft,Location,Date
61,Royal Air,Sud,"Berrechid, Morocco",4/1/1970
112,Dan-Air,de,"Les Agudes mountain, Spain",7/3/1970
109,Air Canada,McDonnell,"Vaughan, Ontario, Canada",7/5/1970
101,LANSA,Lockheed,"Cusco, Peru",8/9/1970
75,Southern Airways,McDonnell,"Ceredo, West Virginia, US",11/14/1970
65,Aeroflot,Antonov,"Lutuhyne, Ukrainian SSR, USSR",3/31/1971
78,Aviogenex,Tupolev,"Omišalj, SR Croatia, Yugoslavia",5/23/1971
50,Hughes Airwest Flight 706 andUS Marine,McDonnell,"San Gabriel Mts., near Duarte, California, US",6/6/1971
68,Toa Domestic Airlines,NAMC,"Hakodate, Japan",7/3/1971
97,Aeroflot,Tupolev,"Irkutsk, Russian SFSR, USSR",7/25/1971
162,All Nippon Airways Flight 58,Boeing,"Shizukuishi, Japan",7/30/1971
111,Alaska Airlines,Boeing,"Juneau, Alaska, US",9/4/1971
63,British European Airways,Vickers,"Aarsele, Belgium",10/2/1971
69,Merpati Nusantara Airlines,Vickers,"Mentawai Strait, off Padang, Indonesia",11/10/1971
52,Aeroflot,Antonov,"Vinnytsia, Ukrainian SSR, USSR",11/12/1971
57,Aeroflot,Antonov,"Saratov Oblast, Russian SFSR, USSR",12/1/1971
91,LANSA,Lockheed,"Puerto Inca, Peru",12/24/1971
104,Iberia Airlines,Sud,"Ibiza, Spain",1/7/1972
112,Sterling Airways,Sud,"Fujairah, United Arab Emirates",3/14/1972
115,Alitalia,McDonnell,"Cinisi, Sicily, Italy",5/5/1972
122,Aeroflot,Antonov,"Kharkiv, Ukrainian SSR, USSR",5/18/1972
86,Japan Airlines,Douglas,"New Delhi, India",6/14/1972
118,British European Airways,Hawker,"Staines, United Kingdom",6/18/1972
156,Interflug,Ilyushin,"Königs Wusterhausen, East Germany",8/14/1972
101,Aeroflot,Ilyushin,"Verkhneuralsky District, Russian SFSR, USSR",8/31/1972
109,Aeroflot,Ilyushin,"Black Sea, off Adler, Russian SFSR, USSR",10/1/1972
174,Aeroflot,Ilyushin,,10/13/1972
60,Air Inter,Vickers,"Noirétable, France",10/27/1972
61,Japan Airlines,McDonnell,,11/28/1972
155,Spantax,Convair,"San Cristóbal, Tenerife, Canary Islands, Spain",12/3/1972
101,Eastern Air Lines,Lockheed,"Everglades, near Tamiami, Florida, US",12/29/1972
176,Nigeria,Boeing,"Kano, Nigeria",1/22/1973
66,Aeroflot,Tupolev,"Prague, Czechoslovakia",2/19/1973
79,Aeroflot,Ilyushin,"Khujand, Tajik SSR, USSR",2/24/1973
68,Iberia Flight 504 and Spantax,McDonnell,"La Planche, France",3/5/1973
108,Invicta International Airlines,Vickers,"Reinach, Switzerland",4/10/1973
63,Aeroflot,Ilyushin,"Zharma District, Kazakh SSR, USSR",5/11/1973
123,Varig,Boeing,"Saulx-les-Chartreux, France",7/11/1973
78,Pan Am,Boeing,"Papeete, Tahiti, French Polynesia",7/22/1973
89,Delta Air Lines,McDonnell,"Boston, Massachusetts, US",7/31/1973
86,Aviaco,Sud,"A Coruña, Spain",8/13/1973
56,Aeroflot,Antonov,"Neftyanyye Kamni, Azerbaijan",8/18/1973
108,Aeroflot,Tupolev,"Yekaterinburg, Russian SFSR, USSR",9/30/1973
122,Aeroflot,Tupolev,"Domodedovo, Russian SFSR, USSR",10/13/1973
51,Aeroflot,Tupolev,"Volokolamsky District, Russian SFSR, USSR",12/16/1973
106,Royal Air Maroc,Sud,"Tétouan, Morocco",12/22/1973
66,Turkish Airlines,Fokker,"Cumaovası, Turkey",1/26/1974
97,Pan Am,Boeing,"Pago Pago, American Samoa",1/30/1974
346,Turkish Airlines,McDonnell,"Fontaine-Chaalis, France",3/3/1974
78,Wenela Air,Douglas,"Francistown, Botswana",4/4/1974
107,Pan Am,Boeing,"Negara, Bali, Indonesia",4/22/1974
109,Aeroflot,Ilyushin,"Shushary, Russian SFSR, USSR",4/27/1974
72,Eastern Air Lines,McDonnell,"Charlotte, North Carolina, US",9/11/1974
59,Lufthansa,Boeing,"Nairobi, Kenya",11/20/1974
92,TWA,Boeing,"Mt. Weather, Virginia, US",12/1/1974
191,Martinair Holland,Douglas,"Maskeliya, Sri Lanka",12/4/1974
