date,manufacturer,carrier,fatalities,location
9/30/1973,Tupolev,Aeroflot,108,"Yekaterinburg, Russian SFSR, USSR"
10/13/1973,Tupolev,Aeroflot,122,"Domodedovo, Russian SFSR, USSR"
12/16/1973,Tupolev,Aeroflot,51,"Volokolamsky District, Russian SFSR, USSR"
12/22/1973,Sud,Royal Air Maroc,106,"Tétouan, Morocco"
1/26/1974,Fokker,Turkish Airlines,66,"Cumaovası, Turkey"
1/30/1974,Boeing,Pan Am,97,"Pago Pago, American Samoa"
3/3/1974,McDonnell,Turkish Airlines,346,"Fontaine-Chaalis, France"
4/4/1974,Douglas,Wenela Air,78,"Francistown, Botswana"
4/22/1974,Boeing,Pan Am,107,"Negara, Bali, Indonesia"
4/27/1974,Ilyushin,Aeroflot,109,"Shushary, Russian SFSR, USSR"
9/11/1974,McDonnell,Eastern Air Lines,72,"Charlotte, North Carolina, US"
11/20/1974,Boeing,Lufthansa,59,"Nairobi, Kenya"
12/1/1974,Boeing,TWA,92,"Mt. Weather, Virginia, US"
12/4/1974,Douglas,Martinair Holland,191,"Maskeliya, Sri Lanka"
12/22/1974,McDonnell,Avensa,75,"Maturín, Venezuela"
3/16/1975,Fokker,Lineas Aéreas del Estado,52,"Pilcaniyeu, Argentina"
6/24/1975,Boeing,Eastern Air Lines,113,"Jamaica, New York, US"
8/3/1975,Boeing,Alia Royal,188,"Tamri, Morocco"
8/20/1975,Ilyushin,ČSA,126,"Damascus, Syria"
9/30/1975,Tupolev,Malév,60,"Beirut, Lebanon"
10/27/1975,Convair,Transporte Aéreo,67,"Cordillera Mts., La Paz Region, Bolivia"
10/30/1975,McDonnell,Inex-Adria Aviopromet,75,"Prague, Czechoslovakia"
1/3/1976,Tupolev,Aeroflot,62,"Moscow Oblast, Russian SFSR, USSR"
3/6/1976,Ilyushin,Aeroflot/Armenia,111,"Verkhnekhavsky District, Russian SFSR, USSR"
5/15/1976,Antonov,Aeroflot,52,"Chernihiv, Ukrainian SSR, USSR"
7/28/1976,Ilyushin,ČSA,76,"Bratislava, Czechoslovakia"
8/15/1976,Vickers,SAETA,59,"Chimborazo volcano, Andes Mts., Ecuador"
9/3/1976,Lockheed,Fuerza Aérea,68,"Lajes, Azores, Portugal"
9/9/1976,Antonov,Aeroflot Flight 7957and Aeroflot,64,"Black Sea, near Anapa, Russian SFSR, USSR"
9/10/1976,Hawker,British Airways Flight 476 andInex Adria,176,"Vrbovec, SR Croatia, Yugoslavia"
9/19/1976,Boeing,Turkish Airlines,154,"Isparta, Turkey"
10/12/1976,Sud,Indian Airlines,95,"Mumbai, India"
10/13/1976,Boeing,Lloyd Aéreo,116,"Santa Cruz, Bolivia"
11/23/1976,NAMC,Olympic Airways,50,"Servia, Greece"
11/28/1976,Tupolev,Aeroflot,72,"Dmitrovsky District, Moscow Oblast, Russian SFSR, USSR"
12/25/1976,Boeing,EgyptAir,71,"Bangkok, Thailand"
1/13/1977,Tupolev,Aeroflot,96,"Almaty, Kazakh SSR, USSR"
2/15/1977,Ilyushin,Aeroflot,77,"Mineralnye Vody, Russian SFSR, USSR"
3/27/1977,Boeing,Pan Am Flight 1736 andKLM,583,"Tenerife, Spain"
4/4/1977,McDonnell,Southern Airways,72,"New Hope, Georgia, US"
5/27/1977,Ilyushin,Aeroflot,69,"Boyeros, Cuba"
11/19/1977,Boeing,TAP Portugal,131,"Santa Cruz, Madeira"
12/2/1977,Tupolev,Libyan Arab,59,"Ar Rajma, Libya"
1/1/1978,Boeing,Air India,213,"Arabian Sea, off Mumbai, India"
3/16/1978,Tupolev,Balkan,73,"Vratsa Province, Bulgaria"
9/25/1978,Boeing,PSA Flight 182 andPrivate,144,"San Diego, California, US"
11/15/1978,Douglas,Icelandic Airlines,183,"Katunayake, Sri Lanka"
12/23/1978,McDonnell,Alitalia,108,"Tyrrhenian Sea, off Palermo, Italy"
3/17/1979,Tupolev,Aeroflot,58,"Minsk, Byelorussian SSR, USSR"
4/23/1979,Vickers,SAETA,57,"Pastaza Province, Ecuador"
5/25/1979,McDonnell,American Airlines,273,"Des Plaines, Illinois, U.S."
7/11/1979,Fokker,Garuda,61,"Mount Sibayak, near Berastagi, Indonesia"
8/11/1979,Tupolev,Aeroflot/Moldovia flight 7628 and Aeroflot,178,"Dniprodzerzhynsk, Ukrainian SSR, USSR"
8/29/1979,Tupolev,Aeroflot,63,"Kirsanov, Russian SFSR, USSR"
10/31/1979,McDonnell,Western Airlines,73,"Mexico City, Mexico"
11/26/1979,Boeing,Pakistan International Airlines,156,"Taif, Saudi Arabia"
11/28/1979,McDonnell,Air New Zealand,257,"Mount Erebus, Antarctica"
1/21/1980,Boeing,Iran Air,128,"Alborz Mountains, Iran"
3/14/1980,Ilyushin,LOT Polish Airlines,87,"Warsaw, Poland"
4/12/1980,Boeing,Transbrasil,55,"Santa Catarina, Brazil"
4/25/1980,Boeing,Dan-Air,146,"Tenerife, Canary Islands, Spain"
7/8/1980,Tupolev,Aeroflot,166,"Almaty, Kazakh SSR, USSR"
8/19/1980,Lockheed,Saudia,301,"Riyadh, Saudi Arabia"
12/21/1980,Sud,TAC,70,"Riohacha, Colombia"
2/7/1981,Tupolev,Soviet,51,"Pushkinsky District, Leningrad, Russian SFSR, USSR"
7/20/1981,Fokker,Somali Airlines,50,"Bal'ad District, Somalia"
8/22/1981,Boeing,Far Eastern Air Transport,110,"Miaoli, Taiwan"
8/26/1981,Vickers,Aeropesca Colombia,50,"Garzón, Colombia"
11/16/1981,Tupolev,Aeroflot,99,"Norilsk, Russian SFSR, USSR"
12/1/1981,McDonnell,Inex-Adria Aviopromet,180,"Petreto-Bicchisano, Corsica, France"
1/13/1982,Boeing,Air Florida,78,
4/26/1982,Hawker,Civil Aviation Administration of China,112,"Yangshuo, China"
6/8/1982,Boeing,VASP,137,"Pacatuba, Brazil"
6/28/1982,Yakovlev,Aeroflot,132,"Mazyr, Byelorussian SSR, USSR"
7/6/1982,Ilyushin,Aeroflot,90,"Mendeleyevo, Russian SFSR, USSR"
7/9/1982,Boeing,Pan Am,153,"Kenner, Louisiana, US"
9/13/1982,McDonnell,Spantax,50,"Málaga, Spain"
7/11/1983,Boeing,TAME,119,"Cuenca, Ecuador"
8/30/1983,Tupolev,Aeroflot,90,"Almaty, Kazakh SSR, USSR"
11/8/1983,Boeing,TAAG Angola,130,"Lubango, Angola"
11/27/1983,Boeing,Avianca,181,"Madrid, Spain"
11/28/1983,Fokker,Nigeria,53,"Enugu, Nigeria"
12/7/1983,Boeing,Iberia Flight 350 and Aviaco,93,"Madrid, Spain"
1/10/1984,Tupolev,Balkan Bulgarian,50,"Sofia, Bulgaria"
9/18/1984,Douglas,Aeroservicios Ecuatorianos,53,"Quito Canton, Ecuador"
10/11/1984,Tupolev,Aeroflot,178,"Omsk, Russian SFSR, USSR"
12/23/1984,Tupolev,Aeroflot,110,"Yemelyanovsky, Russian SFSR, USSR"
1/21/1985,Lockheed,Galaxy Airlines,70,"Reno, Nevada, US"
2/19/1985,Boeing,Iberia Airlines,148,"Oiz mountain, Spain"
2/22/1985,Antonov,Air,51,"Timbuktu, Mali"
5/3/1985,Tupolev,Aeroflot Flight 8381 andSoviet Air,94,"Zolochiv, Ukrainian SSR, USSR"
7/10/1985,Tupolev,Aeroflot,200,"Uchkuduk, Uzbek SSR, USSR"
7/24/1985,Douglas,Fuerza Aérea,80,"Leticia, Colombia"
8/2/1985,Lockheed,Delta Air Lines,137,"Dallas–Fort Worth, Texas, US"
8/12/1985,Boeing,Japan Airlines,520,"Ueno, Japan"
8/22/1985,Boeing,British Airtours,55,"Manchester, England, UK"
12/12/1985,McDonnell,Arrow Air,256,"Gander, Newfoundland, Canada"
1/18/1986,Sud,Aerovias Guatemala,93,"Flores, Guatemala"
3/31/1986,Boeing,Mexicana,167,"Sierra Madre Oriental Mts., Mexico"
7/2/1986,Tupolev,Aeroflot,54,"Komi ASSR, Russian SFSR, USSR"
8/31/1986,McDonnell,Aeroméxico Flight 498 and Private,82,"Cerritos, California, US"
10/20/1986,Tupolev,Aeroflot,70,"Samara Oblast, Russian SFSR, USSR"
12/12/1986,Tupolev,Aeroflot,72,"Bohnsdorf, East Germany"
1/3/1987,Boeing,Varig,50,"Bingerville, Côte d'Ivoire"
5/9/1987,Ilyushin,LOT,183,"Warsaw, Poland"
6/26/1987,Hawker,Philippine Airlines,50,"Benguet, Philippines"
8/16/1987,McDonnell,Northwest Airlines,156,"Romulus, Michigan, U.S."
8/31/1987,Boeing,Thai Airways,83,"Phuket, Thailand"
11/28/1987,Boeing,South African Airways,159,Mauritius
1/18/1988,Ilyushin,China Southwest Airlines,108,"Chongqing, China"
3/17/1988,Boeing,Avianca,143,"Sardinata, Colombia"
9/9/1988,Tupolev,Vietnam Airlines,75,"Lam Luk Ka District, Thailand"
10/19/1988,Boeing,Indian Airlines,133,"Ahmedabad, India"
2/8/1989,Boeing,Independent Air,144,"Pico Alto Mtn., Azores, Portugal"
6/7/1989,Douglas,Surinam Airways,176,"Paramaribo, Surinam"
6/21/1989,de,Fuerza Aérea del,59,"Tarma, Peru"
7/19/1989,McDonnell,United Airlines,111,"Sioux City, Iowa, US"
7/27/1989,McDonnell,Korean Air,79,"Tripoli, Libya"
8/25/1989,Fokker,Pakistan International Airlines,54,"Bunji, Pakistan"
9/3/1989,Ilyushin,Cubana de Aviación,150,"Havana, Cuba"
9/8/1989,Convair,Partnair,55,"Skagerrak, near Hirtshals, Denmark"
10/21/1989,Boeing,Tan-Sahsa,131,"Tegucigalpa, Honduras"
10/26/1989,Boeing,China Airlines,54,"Hualien City, Taiwan"
1/25/1990,Boeing,Avianca,73,"Cove Neck, New York, US"
2/14/1990,Airbus,Indian Airlines,92,"Bangalore, India"
2/5/1991,Lockheed,Elleniki Polemikí,63,"Mount Othrys, Greece"
5/26/1991,Boeing,Lauda Air,223,"Phu Toei National Park, Thailand"
7/11/1991,McDonnell,Nigeria Airways,261,"Jeddah, Saudi Arabia"
8/16/1991,Boeing,Indian Airlines,69,"Imphal, India"
11/7/1991,Yakovlev,Aeroflot,51,"Untsukulsky District, Dagestan ASSR, Russian SFSR, USSR"
1/20/1992,Airbus,Air Inter,87,"Barr, France"
7/24/1992,Vickers,Mandala Airlines,70,"Ambon Island, Indonesia"
7/31/1992,Yakovlev,China General Aviation,108,"Nanjing, China"
7/31/1992,Airbus,Thai Airways International,113,"Langtang National Park, Nepal"
8/27/1992,Tupolev,Aeroflot,84,"Ivanovo Oblast, Russia"
9/28/1992,Airbus,Pakistan International Airlines,167,"Kathmandu, Nepal"
11/24/1992,Boeing,China Southern Airlines,141,"Yanshan District, China"
12/21/1992,McDonnell,Martinair,56,"Faro, Portugal"
12/22/1992,Boeing,Libyan Arab Airlines Flight 1103 andLibyan,157,"Qasr bin Ghashir, Tripoli, Libya"
3/5/1993,Fokker,Palair Macedonian Airlines,83,"Petrovec, Republic of Macedonia"
4/26/1993,Boeing,Indian Airlines,56,"Aurangabad, India"
5/19/1993,Boeing,SAM Colombia,132,"Medellín, Colombia"
7/23/1993,British,China Northwest Airlines,55,"Yinchuan, China"
7/26/1993,Boeing,Asiana Airlines,68,"Mokpo, South Korea"
8/28/1993,Yakovlev,Tajikistan,82,"Khorog, Tajikistan"
11/20/1993,Yakovlev,Avioimpex,116,"Ohrid, Republic of Macedonia"
1/3/1994,Tupolev,Baikal Air,124,"Irkutsk, Russia"
3/23/1994,Airbus,Aeroflot,75,"Mezhdurechensk, Russia"
4/26/1994,Airbus,China Airlines,264,"Komaki, Japan"
6/6/1994,Tupolev,China Northwest Airlines,160,"Xian, China"
7/1/1994,Fokker,Air Mauritanie,80,"Tidjikja, Mauritania"
9/8/1994,Boeing,US Air,132,"Aliquippa, Pennsylvania, US"
10/12/1994,Fokker,Iran Aseman Airlines,66,"Natanz, Iran"
10/31/1994,ATR,American Eagle,68,"Roselawn, Indiana, US"
12/29/1994,Boeing,Turkish Airlines,57,"Van, Turkey"
1/11/1995,Douglas,Intercontinental de Aviación,51,"María La Baja, Colombia"
3/31/1995,Airbus,TAROM,60,"Balotești, Romania"
8/9/1995,Boeing,Aviateca,65,"San Vicente volcano, El Salvador"
11/8/1995,Fokker,Lineas Aéreas del Estado,53,"Champaqui, Córdoba, Argentina"
12/3/1995,Boeing,Cameroon Airlines,71,"Douala, Cameroon"
12/5/1995,Tupolev,Azerbaijan Airlines,52,"Nakhchivan, Azerbaijan"
12/6/1995,Tupolev,Khabarovsk United Air,98,"Khabarovsk Krai, Russia"
12/18/1995,Lockheed,Trans Service,141,"Jamba, Cuando Cubango, Angola"
12/20/1995,Boeing,American Airlines,159,"Buga, Colombia"
1/8/1996,Antonov,Air,251,"Kinshasa, DR Congo (then Zaire)"
2/6/1996,Boeing,Birgenair,189,"Puerto Plata, Dominican Republic"
2/29/1996,Boeing,Faucett,123,"Arequipa, Peru"
5/3/1996,Antonov,Federal,53,"Khartoum North, Sudan"
5/11/1996,McDonnell,ValuJet,110,"Everglades, Florida, US"
7/17/1996,Boeing,TWA,230,"East Moriches, New York, U.S."
8/29/1996,Tupolev,Vnukovo Airlines,141,"Svalbard, Norway"
10/2/1996,Boeing,Aeroperú,70,"Lima, Peru"
10/31/1996,Fokker,TAM Airlines,99,"São Paulo, Brazil"
11/7/1996,Boeing,ADC Airlines,144,"Lagos State, Nigeria"
11/12/1996,Boeing,Saudi Arabian Flight 763 andKazakhstan Airlines,349,"Charkhi Dadri, India"
3/18/1997,Antonov,Stavropolskaya Aktsionernaya Avia,50,"Cherkessk, Russia"
8/6/1997,Boeing,Korean Air,228,"Asan, Guam, U.S."
9/3/1997,Tupolev,Vietnam Airlines,65,"Phnom Penh, Cambodia"
9/26/1997,Airbus,Garuda Indonesia,234,"Medan, Indonesia"
10/10/1997,McDonnell,Austral Líneas Aéreas,74,"Nuevo Berlín, near Fray Bentos, Uruguay"
12/15/1997,Tupolev,Tajikistan Airlines,85,"Sharjah, United Arab Emirates"
12/17/1997,Yakovlev,Aerosvit,70,"Pierian Mountains, Greece"
12/19/1997,Boeing,SilkAir,104,"Musi River, Indonesia"
2/2/1998,McDonnell,Cebu Pacific Air,104,"Mount Balatukan, Philippines"
2/16/1998,Airbus,China Airlines,203,"Dayuan District, Taiwan"
4/20/1998,Boeing,Air France,53,"Monserrate Mtn., Bogotá, Colombia"
5/5/1998,Boeing,Peruvian Air,75,"Andoas, Peru"
8/29/1998,Tupolev,Cubana de Aviación,80,"Quito, Ecuador"
9/2/1998,McDonnell,Swissair,229,"Peggys Cove, N.S., Canada"
12/11/1998,Airbus,Thai Airways,101,"Surat Thani, Thailand"
